date,total_volume,avg_trade_size,trade_count,total_pnl,avg_pnl,pnl_volatility,avg_price,price_volatility,profit_ratio,unique_traders,value,classification,datetime,volume_per_trader,pnl_per_trade,risk_adjusted_return
2024-04-01,339470.47,4408.7074025974025,77,2507.963406,32.57095332467532,92.06770180124278,1332.2278167402596,1725.5880496159934,0.5454545454545454,2,79,Extreme Greed,2024-04-01 05:30:00,169735.235,32.57095332467532,0.35377176455419745
2024-04-02,239664.50999999998,5845.475853658536,41,883.760812,21.555141756097562,78.23542802217051,3060.7089024390243,1013.4302257071722,0.2926829268292683,2,79,Extreme Greed,2024-04-02 05:30:00,119832.25499999999,21.555141756097562,0.2755163779507824
2024-04-03,16887.57,4221.8925,4,126.7884,31.6971,63.3942,8.3283,4.2287486399643095,0.25,2,71,Greed,2024-04-03 05:30:00,8443.785,31.6971,0.5
2024-04-04,95987.73,2999.6165625,32,0.0,0.0,0.0,3401.434375,34.823218147917345,0.0,1,70,Greed,2024-04-04 05:30:00,95987.73,0.0,
2024-04-05,503791.8,5037.918,100,10706.484306,107.06484306,304.1028007265851,330.28005890000003,986.0322455497284,0.9,3,79,Extreme Greed,2024-04-05 05:30:00,167930.6,107.06484306,0.35206792835907036
2024-04-06,68223.67,4263.979375,16,236.33513399999998,14.770945874999999,42.149058574016486,3328.08125,7.521012232406113,0.25,1,75,Extreme Greed,2024-04-06 05:30:00,68223.67,14.770945874999999,0.35044545180199593
2024-04-07,49988.14,2173.397391304348,23,0.0,0.0,0.0,3398.0043478260873,7.056169335531876,0.0,1,78,Extreme Greed,2024-04-07 05:30:00,49988.14,0.0,
2024-04-08,211940.64,7064.688,30,1218.4267,40.614223333333335,222.45326275219327,3295.5374166666666,896.4206747924679,0.03333333333333333,2,76,Extreme Greed,2024-04-08 05:30:00,105970.32,40.614223333333335,0.18257418583505539
2024-04-09,57063.840000000004,19021.280000000002,3,0.0,0.0,0.0,3501.3000000000006,0.0,0.0,1,80,Extreme Greed,2024-04-09 05:30:00,57063.840000000004,0.0,
2024-04-10,351735.97,8578.926097560974,41,5207.443414,127.01081497560976,197.76893722954745,3433.4707317073166,27.343045220882548,0.8780487804878049,1,78,Extreme Greed,2024-04-10 05:30:00,351735.97,127.01081497560976,0.6422182206915042
2024-04-11,76400.96,4775.06,16,389.743164,24.35894775,69.72639235953248,3521.2125,27.376775437098644,0.125,1,76,Extreme Greed,2024-04-11 05:30:00,76400.96,24.35894775,0.3493504672434099
2024-04-12,442088.59,3427.0433333333335,129,-592.6458390000001,-4.594153790697676,122.96278242038903,555.2924815968992,1259.0653270732723,0.5503875968992248,3,79,Extreme Greed,2024-04-12 05:30:00,147362.86333333334,-4.594153790697676,-0.037362148938619805
2024-04-13,486411.25,5465.294943820225,89,6621.451755,74.3983343258427,185.05277424135176,658.6612459887641,1311.0969406199981,0.6853932584269663,2,72,Greed,2024-04-13 05:30:00,243205.625,74.3983343258427,0.4020384705435975
2024-04-14,659162.17,6160.394112149533,107,-36104.012520000004,-337.4206777570094,2139.677020173523,1787.6264255140186,1470.9021734975304,0.308411214953271,2,72,Greed,2024-04-14 05:30:00,329581.085,-337.4206777570094,-0.15769701435109368
2024-04-15,291111.19,7100.272926829269,41,3774.08872,92.05094439024391,165.5095385447801,230.87443634146342,828.5437002890698,0.8536585365853658,2,74,Greed,2024-04-15 05:30:00,145555.595,92.05094439024391,0.5561670052347992
2024-04-16,181907.17,3870.3653191489366,47,2467.702221,52.504302574468085,103.5102238356102,0.8237938510638297,0.16399714308646,0.9148936170212766,2,65,Greed,2024-04-16 05:30:00,90953.585,52.504302574468085,0.5072378421077788
2024-04-17,97562.99,6968.785000000001,14,2441.4683999999997,174.39059999999998,232.6697853775852,4.993378571428572,0.06874117765571464,0.9285714285714286,1,67,Greed,2024-04-17 05:30:00,97562.99,174.39059999999998,0.7495197527130237
2024-04-19,337257.92000000004,9635.940571428573,35,1946.4454620000001,55.61272748571429,114.02941773198246,3065.0228571428574,27.132735662623762,0.7714285714285715,1,66,Greed,2024-04-19 05:30:00,337257.92000000004,55.61272748571429,0.4877050904217349
2024-04-20,60733.24,2760.601818181818,22,0.0,0.0,0.0,285.09828863636363,922.3451665821668,0.0,2,66,Greed,2024-04-20 05:30:00,30366.62,0.0,
